practice_code	list_size	postcode	grid_ref	easting	northing	latitude	longitude
46451	9727	G34 9HQ	NS 67066 66014	267066	666014	55.868904	-4.125957
46471	2719	G34 9HQ	NS 67066 66014	267066	666014	55.868904	-4.125957
46521	6333	G33 3AL	NS 63615 65495	263615	665495	55.86328	-4.1808009
46555	3281	G40 2DA	NS 60626 64415	260626	664415	55.852728	-4.2279652
46560	4719	G31 1QS	NS 61346 64887	261346	664887	55.857174	-4.2167149
46574	1196	G40 2DA	NS 60626 64415	260626	664415	55.852728	-4.2279652
46606	3186	G40 2DA	NS 60626 64415	260626	664415	55.852728	-4.2279652
46611	2036	G40 2DA	NS 60626 64415	260626	664415	55.852728	-4.2279652
46625	8083	G31 3BP	NS 61487 65550	261487	665550	55.863167	-4.2148029
49041	12107	G42 7DR	NS 58701 62752	258701	662752	55.837238	-4.2578229
49074	3443	G5 9AB	NS 59057 63973	259057	663973	55.848304	-4.2527775
49093	2465	G5 9RP	NS 58419 63449	258419	663449	55.843413	-4.2626855
49106	7134	G44 5JT	NS 59590 59665	259590	659665	55.809782	-4.2420443
49130	4160	G42 9JT	NS 58203 61525	258203	661525	55.826076	-4.2651272
49144	9727	G41 5RU	NS 57587 63035	257587	663035	55.839451	-4.275744
49159	7162	G76 7HN	NS 56999 57911	256999	657911	55.793274	-4.2824295
49178	5598	G42 7DR	NS 58701 62752	258701	662752	55.837238	-4.2578229
49197	2476	G76 7BU	NS 57460 57017	257460	657017	55.785384	-4.2746151
49200	4891	G41 3YT	NS 57032 61739	257032	661739	55.827651	-4.2839164
49214	8019	G76 7HN	NS 56999 57911	256999	657911	55.793274	-4.2824295
49248	5555	G44 3DH	NS 58074 60255	258074	660255	55.814636	-4.2665214
49267	5116	G42 7AF	NS 58601 63102	258601	663102	55.840351	-4.2596006
49271	5970	G41 3RG	NS 56704 61818	256704	661818	55.828263	-4.2891895
49286	2974	G42 8QD	NS 57864 62603	257864	662603	55.835654	-4.2710983
49318	2294	G41 3YA	NS 57311 62021	257311	662021	55.830266	-4.2796145
49337	13943	G77 5BQ	NS 53919 55678	253919	655678	55.772306	-4.3303127
49375	2066	G42 0EH	NS 60148 61705	260148	661705	55.828259	-4.2341979
49411	1698	G44 4JE	NS 59964 60692	259964	660692	55.819111	-4.2366107
49445	4703	G76 7HN	NS 56999 57911	256999	657911	55.793274	-4.2824295
49464	3009	G77 5LU	NS 54967 55944	254967	655944	55.77501	-4.3137629
49553	5700	G41 3PT	NS 56840 61567	256840	661567	55.82605	-4.2868881
49568	4816	G77 6GR	NS 52910 56884	252910	656884	55.782827	-4.3470335
49604	6087	G5 9AB	NS 59057 63973	259057	663973	55.848304	-4.2527775
49619	2787	G76 7HN	NS 56999 57911	256999	657911	55.793274	-4.2824295
49623	7876	G76 7BX	NS 57421 57257	257421	657257	55.787528	-4.2753621
49638	8868	G76 7HN	NS 56999 57911	256999	657911	55.793274	-4.2824295
49676	3207	G41 1NX	NS 57684 63690	257684	663690	55.84536	-4.2745399
49681	10000	G42 9LQ	NS 58482 61805	258482	661805	55.828671	-4.2608233
49712	1769	G41 3YA	NS 57311 62021	257311	662021	55.830266	-4.2796145
49751	10274	G45 9AW	NS 60019 59203	260019	659203	55.805759	-4.2349669
49765	10351	G44 5JT	NS 59590 59665	259590	659665	55.809782	-4.2420443
49770	4992	G44 4JE	NS 59964 60692	259964	660692	55.819111	-4.2366107
49784	9562	G76 7NW	NS 56672 58016	256672	658016	55.79412	-4.2876958
49801	3954	G41 1NX	NS 57684 63690	257684	663690	55.84536	-4.2745399
52005	8624	G51 1SL	NS 56156 64480	256156	664480	55.851999	-4.2993409
52010	1813	G44 5DQ	NS 59296 59759	259296	659759	55.81054	-4.2467801
52024	4076	G52 2AZ	NS 52529 64465	252529	664465	55.850768	-4.3572162
52039	5655	G42 7DR	NS 58701 62752	258701	662752	55.837238	-4.2578229
52043	5877	G53 5QD	NS 53488 62369	253488	662369	55.832244	-4.3407803
52058	5795	G51 1AT	NS 56401 64494	256401	664494	55.852198	-4.2954382
52062	5334	G51 4BJ	NS 54498 65483	254498	665483	55.860506	-4.3263397
52096	4842	G51 4BJ	NS 54498 65483	254498	665483	55.860506	-4.3263397
52109	2849	G51 1RN	NS 55799 64359	255799	664359	55.850806	-4.3049742
52128	10428	G41 1HU	NS 57423 64589	257423	664589	55.853354	-4.2791772
52147	1356	G46 8DH	NS 54019 59501	254019	659501	55.806658	-4.3307697
52151	4607	G41 3UJ	NS 56915 62198	256915	662198	55.831737	-4.2860243
52185	3673	G52 3SS	NS 53442 63842	253442	663842	55.845454	-4.3423094
52202	3874	G51 1HS	NS 57406 64683	257406	664683	55.854193	-4.279498
52217	2018	G41 1HU	NS 57423 64589	257423	664589	55.853354	-4.2791772
52221	5998	G46 8NY	NS 54799 59523	254799	659523	55.80709	-4.3183476
52241	7080	G52 3QN	NS 53836 63916	253836	663916	55.846238	-4.3360624
52255	8123	G46 8NY	NS 54799 59523	254799	659523	55.80709	-4.3183476
52260	1558	G41 1HU	NS 57423 64589	257423	664589	55.853354	-4.2791772
52293	5439	G53 6EQ	NS 53107 61327	253107	661327	55.822774	-4.3462942
52330	3985	G51 4BJ	NS 54498 65483	254498	665483	55.860506	-4.3263397
